entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol
2014-10-29,2014-12-12,long,672000,1.488,1.549,40379.74,4.04,44,159949.SZ
2014-12-12,2015-07-09,long,620700,1.676,2.023,214694.11,20.63,209,510050.SH
2015-07-10,2015-07-16,long,396400,3.166,3.166,-753.0,-0.06,6,510300.SH
2015-07-16,2015-08-24,long,558900,2.244,1.71,-299115.57,-23.84,39,510050.SH
2015-10-16,2015-10-20,long,414000,2.307,2.28,-11747.71,-1.23,4,159949.SZ
2015-10-21,2015-10-22,long,394700,2.39,2.225,-65671.96,-6.96,1,159949.SZ
2015-10-23,2015-11-03,long,373000,2.353,2.303,-19171.01,-2.18,11,159949.SZ
2015-11-05,2015-12-03,long,345500,2.485,2.461,-8804.65,-1.03,28,159949.SZ
2015-12-04,2016-01-05,long,334500,2.54,2.24,-100829.67,-11.86,32,159949.SZ
2016-07-14,2016-07-18,long,342300,2.188,2.162,-9346.5,-1.25,4,159949.SZ
2017-09-07,2017-09-08,long,959300,0.771,0.764,-7156.86,-0.97,1,159949.SZ
2017-09-12,2017-09-13,long,947500,0.773,0.762,-10858.82,-1.48,1,159949.SZ
2017-10-10,2017-10-18,long,950700,0.759,0.75,-8986.68,-1.25,8,159949.SZ
2017-10-23,2017-10-31,long,214000,3.329,3.394,13478.38,1.89,8,510300.SH
2018-03-12,2018-03-19,long,991900,0.732,0.702,-30183.72,-4.16,7,159949.SZ
2018-03-20,2018-03-22,long,988500,0.704,0.699,-5358.56,-0.77,2,159949.SZ
2018-04-02,2018-04-09,long,940800,0.734,0.695,-37094.52,-5.37,7,159949.SZ
2019-02-26,2019-03-04,long,1171000,0.558,0.57,13655.73,2.09,6,159949.SZ
2019-03-04,2019-05-07,long,269900,2.471,2.45,-6066.35,-0.91,64,510050.SH
2019-05-08,2019-05-09,long,212900,3.104,3.082,-5078.9,-0.77,1,510300.SH
2019-05-13,2019-05-17,long,209400,3.132,3.177,9026.67,1.38,4,510300.SH
2019-05-17,2019-05-20,long,274400,2.423,2.365,-16309.35,-2.45,3,510050.SH
2019-05-22,2019-05-24,long,209100,3.101,3.033,-14603.59,-2.25,2,510300.SH
2019-05-28,2019-05-31,long,206200,3.075,3.089,2505.49,0.4,3,510300.SH
2019-06-12,2019-06-13,long,200800,3.169,3.142,-5801.77,-0.91,1,510300.SH
2019-06-20,2019-07-22,long,198300,3.181,3.309,24996.31,3.96,32,510300.SH
2019-07-22,2020-02-05,long,1225700,0.535,0.712,216490.37,33.0,198,159949.SZ
2020-02-05,2020-06-22,long,350700,2.487,2.624,47508.17,5.45,138,510050.SH
2020-06-22,2020-07-08,long,1024200,0.898,1.01,114124.15,12.4,16,159949.SZ
2020-07-10,2020-07-16,long,967100,1.069,1.099,28384.0,2.74,6,159949.SZ
2020-07-16,2020-09-01,long,347900,3.053,3.082,9448.79,0.89,47,510050.SH
2020-09-07,2020-09-24,long,996900,1.075,1.027,-48479.85,-4.52,17,159949.SZ
2020-10-09,2021-01-25,long,241900,4.23,5.145,220658.16,21.56,108,510300.SH
2021-01-25,2021-03-25,long,347600,3.578,3.189,-135922.06,-10.93,59,510050.SH
2021-03-29,2021-04-16,long,239500,4.626,4.54,-21255.58,-1.92,18,510300.SH
2021-04-16,2021-06-01,long,342700,3.171,3.381,71293.39,6.56,46,510050.SH
2021-06-01,2021-08-02,long,807000,1.435,1.53,75947.17,6.56,62,159949.SZ
2021-08-02,2021-08-19,long,425800,2.898,2.968,29056.68,2.35,17,510050.SH
2021-08-19,2021-11-19,long,279300,4.521,4.491,-9134.12,-0.72,92,510300.SH
2021-11-19,2022-01-06,long,833700,1.504,1.368,-114101.52,-9.1,48,159949.SZ
2022-01-12,2022-01-25,long,849900,1.341,1.329,-10879.57,-0.95,13,159949.SZ
2023-01-16,2023-02-20,long,1026300,1.1,1.061,-40691.05,-3.6,35,159949.SZ
2023-02-24,2023-03-22,long,1020800,1.066,1.009,-58821.05,-5.4,26,159949.SZ
2024-05-07,2024-05-08,long,299700,3.434,3.432,-1216.72,-0.12,1,510300.SH
2024-09-27,2024-10-10,long,1337000,0.769,1.02,334869.43,32.56,13,159949.SZ
2024-10-10,2025-03-12,long,514100,2.651,2.659,3293.84,0.24,153,510050.SH
2025-04-10,2025-04-28,long,1652200,0.827,0.855,45427.9,3.32,18,159949.SZ
2025-05-09,2025-05-15,long,1573900,0.897,0.923,40062.05,2.84,6,159949.SZ
2025-05-15,2025-05-27,long,531200,2.733,2.683,-27423.09,-1.89,12,510050.SH
2025-06-06,2025-06-11,long,377200,3.776,3.763,-5756.71,-0.4,5,510300.SH
2025-06-12,2025-06-20,long,374600,3.787,3.749,-15081.7,-1.06,8,510300.SH
2025-06-25,2025-09-04,long,1520600,0.923,1.372,681702.47,48.56,71,159949.SZ
2025-09-04,2026-04-29,long,694400,3.003,3.019,9855.9,0.47,237,510050.SH
2026-04-29,2026-06-03,long,1225200,1.71,1.995,347820.19,16.6,35,159949.SZ
2026-06-03,2026-07-29,long,816500,2.992,3.033,32000.68,1.31,56,510050.SH
