entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol
2014-10-29,2014-12-12,long,672000,1.488,1.549,40379.74,4.04,44,159949.SZ
2014-12-12,2015-08-25,long,620700,1.676,1.436,-149547.49,-14.37,256,510050.SH
2015-10-21,2015-10-28,long,372700,2.39,2.409,6544.72,0.73,7,159949.SZ
2015-10-28,2015-11-04,long,489800,1.832,1.771,-30407.22,-3.39,7,510050.SH
2015-11-09,2016-01-06,long,343800,2.521,2.291,-79570.31,-9.18,58,159949.SZ
2017-10-10,2017-10-20,long,1037400,0.759,0.744,-16028.76,-2.04,10,159949.SZ
2017-10-25,2017-11-02,long,229700,3.357,3.39,7115.16,0.92,8,510300.SH
2018-03-14,2018-03-26,long,1087200,0.716,0.64,-83069.47,-10.67,12,159949.SZ
2018-04-04,2018-04-11,long,975300,0.713,0.697,-16017.35,-2.3,7,159949.SZ
2019-02-28,2019-03-06,long,1258100,0.54,0.603,78828.9,11.6,6,159949.SZ
2019-03-06,2019-05-10,long,307900,2.462,2.368,-29388.75,-3.88,65,510050.SH
2019-05-15,2019-05-23,long,234400,3.109,3.072,-9107.45,-1.25,8,510300.SH
2019-05-23,2019-05-24,long,306300,2.349,2.336,-4412.4,-0.61,1,510050.SH
2019-05-30,2019-06-04,long,231200,3.093,3.084,-2509.24,-0.35,5,510300.SH
2019-06-21,2019-07-22,long,215800,3.302,3.309,1082.6,0.15,31,510300.SH
2019-07-22,2020-02-05,long,1334300,0.535,0.712,235671.94,33.0,198,159949.SZ
2020-02-05,2020-05-14,long,381800,2.487,2.547,22331.41,2.35,99,510050.SH
2020-05-14,2020-07-16,long,1213300,0.801,1.099,360871.82,37.12,63,159949.SZ
2020-07-16,2020-09-01,long,436500,3.053,3.082,11855.12,0.89,47,510050.SH
2020-09-07,2020-09-24,long,1250800,1.075,1.027,-60827.15,-4.52,17,159949.SZ
2020-10-13,2021-01-25,long,1148200,1.118,1.435,363099.99,28.28,104,159949.SZ
2021-01-25,2021-04-27,long,460200,3.578,3.204,-173051.12,-10.51,92,510050.SH
2021-04-27,2021-08-02,long,1166000,1.264,1.53,309178.66,20.97,97,159949.SZ
2021-08-02,2021-08-19,long,615200,2.898,2.968,41981.37,2.35,17,510050.SH
2021-08-19,2021-11-19,long,403600,4.521,4.491,-13199.17,-0.72,92,510300.SH
2021-11-19,2022-01-06,long,1204600,1.504,1.368,-164863.48,-9.1,48,159949.SZ
2022-01-12,2022-01-25,long,1228100,1.341,1.329,-15720.91,-0.95,13,159949.SZ
2023-01-18,2023-02-22,long,1447400,1.127,1.066,-89243.64,-5.47,35,159949.SZ
2023-02-28,2023-03-22,long,1472700,1.047,1.009,-56870.96,-3.69,22,159949.SZ
2024-09-30,2024-10-10,long,1651900,0.899,1.02,198928.9,13.39,10,159949.SZ
2024-10-10,2025-02-13,long,635200,2.651,2.616,-23235.68,-1.38,126,510050.SH
2025-02-13,2025-03-14,long,437200,3.798,3.801,314.92,0.02,29,510300.SH
2025-04-10,2025-04-28,long,2008600,0.827,0.855,55227.26,3.32,18,159949.SZ
2025-05-13,2025-05-19,long,1843500,0.931,0.905,-48946.4,-2.85,6,159949.SZ
2025-05-19,2025-05-29,long,619800,2.69,2.668,-14631.87,-0.88,10,510050.SH
2025-06-10,2025-06-23,long,436500,3.786,3.746,-18446.32,-1.12,13,510300.SH
2025-06-27,2025-09-04,long,1720300,0.95,1.372,724768.24,44.33,69,159949.SZ
2025-09-04,2025-12-08,long,785500,3.003,3.072,52767.93,2.24,95,510050.SH
2025-12-08,2026-06-03,long,1619700,1.489,1.995,817875.29,33.9,177,159949.SZ
2026-06-03,2026-07-31,long,1079400,2.992,3.05,60648.68,1.88,58,510050.SH
