date,from,to,close,ma200,slope,macro_regime,macro_score
2015-07-08,bull,sideways,1.899,2.06879,8.11097524012583,neutral,1.0
2015-07-09,sideways,bull,2.089,2.0718799999999997,7.622861832707387,neutral,1.0
2015-08-21,bull,sideways,2.226,2.230295,4.4465882562302514,bull,2.0
2015-10-15,sideways,bull,2.298,2.29745,1.9600272491051958,neutral,1.0
2015-10-19,bull,sideways,2.294,2.304705,2.1150037439576006,neutral,1.0
2015-10-20,sideways,bull,2.391,2.308955,2.264568777473902,neutral,1.0
2015-10-21,bull,sideways,2.22,2.312705,2.3567630247117024,neutral,1.0
2015-10-22,sideways,bull,2.348,2.31714,2.492491562683846,neutral,1.0
2015-11-02,bull,sideways,2.311,2.349405,3.3052872724234725,neutral,1.0
2015-11-04,sideways,bull,2.489,2.358495,3.5138154039944096,neutral,1.0
2015-12-02,bull,sideways,2.454,2.45586,4.128268238855708,neutral,1.0
2015-12-03,sideways,bull,2.561,2.46012,4.099236431262939,neutral,1.0
2016-01-04,bull,sideways,2.316,2.53685,2.937148630635864,neutral,1.0
2016-01-28,sideways,bear,1.808,2.519055,-0.520488817191145,neutral,1.0
2016-07-04,bear,sideways,2.153,2.16057,-0.4627720715096809,neutral,0.0
2016-07-13,sideways,bull,2.188,2.171765,0.8305960188033386,neutral,1.0
2016-07-15,bull,sideways,2.164,2.175595,1.1779943402324762,neutral,1.0
2016-08-01,sideways,bear,0.912,2.14288,-0.8187654183849625,neutral,1.0
2017-09-06,bear,bull,0.772,0.76944,-2.385060387699169,bull,3.0
2017-09-07,bull,bear,0.764,0.768615,-2.3441520077757056,bull,3.0
2017-09-11,bear,bull,0.771,0.7671049999999999,-2.2547145769622996,bull,3.0
2017-09-12,bull,bear,0.762,0.7663549999999999,-2.211347671577237,bull,3.0
2017-10-09,bear,bull,0.76,0.7548,-2.1037067780342795,bull,3.0
2017-10-17,bull,bear,0.752,0.752725,-1.7785491058321432,bull,3.0
2017-10-20,bear,bull,0.754,0.751425,-1.638217661072866,bull,3.0
2017-10-30,bull,bear,0.731,0.74957,-1.1994674891586734,bull,3.0
2018-03-09,bear,bull,0.714,0.7068000000000001,-1.0527494680254998,neutral,1.0
2018-03-16,bull,bear,0.704,0.706625,-0.6684191290168496,neutral,1.0
2018-03-19,bear,bull,0.712,0.70664,-0.5964438442493685,neutral,1.0
2018-03-21,bull,sideways,0.694,0.7065899999999999,-0.4599530890111464,neutral,1.0
2018-03-30,sideways,bull,0.727,0.70595,-0.21555531997598634,neutral,1.0
2018-04-04,bull,sideways,0.694,0.7057800000000001,-0.17679589267781753,bull,3.0
2018-04-25,sideways,bear,0.679,0.702535,-0.5119308928697918,bull,3.0
2018-05-16,bear,sideways,0.685,0.7010900000000001,-0.4833249348824165,bull,4.0
2018-06-13,sideways,bear,0.615,0.697195,-0.5555634797244423,bull,4.0
2019-02-25,bear,bull,0.559,0.52671,-4.008529173235161,neutral,1.0
2019-05-06,bull,sideways,0.509,0.5158200000000001,0.013572467280683573,neutral,0.0
2019-05-07,sideways,bull,0.516,0.515565,-0.027147303206296037,neutral,0.0
2019-05-08,bull,sideways,0.514,0.51524,-0.08532423208191048,neutral,0.0
2019-05-10,sideways,bull,0.53,0.514655,-0.16488685851737955,neutral,0.0
2019-05-17,bull,bear,0.511,0.512925,-0.5033752327746769,neutral,0.0
2019-05-21,bear,bull,0.517,0.512215,-0.7200589227220793,neutral,0.0
2019-05-23,bull,bear,0.503,0.511285,-0.9607841238171942,neutral,0.0
2019-05-27,bear,bull,0.515,0.51037,-1.1830080545229147,neutral,0.0
2019-05-30,bull,bear,0.507,0.50935,-1.3250934733334756,neutral,0.0
2019-06-11,bear,bull,0.51,0.5077050000000001,-1.2794462214530697,neutral,-1.0
2019-06-12,bull,bear,0.504,0.50746,-1.2560442874794446,neutral,-1.0
2019-06-19,bear,bull,0.507,0.50639,-1.137217769881782,neutral,0.0
2020-07-07,bull,sideways,1.006,0.7109350000000001,5.026517557725559,bear,-2.0
2020-07-09,sideways,bull,1.075,0.71559,5.253945607248424,neutral,-1.0
2020-08-31,bull,sideways,1.08,0.8058399999999999,6.376603061244671,bear,-2.0
2020-09-30,sideways,bull,1.033,0.8527699999999999,5.194532849776709,neutral,-1.0
2021-03-24,bull,sideways,1.11,1.115875,3.6148549833092596,neutral,1.0
2021-03-26,sideways,bull,1.158,1.11924,3.455638694649468,neutral,1.0
2022-01-05,bull,sideways,1.378,1.41545,1.5012387819421358,neutral,1.0
2022-03-14,sideways,bear,1.11,1.4247,-0.5635916316239503,bull,3.0
2023-01-13,bear,bull,1.096,1.09201,-1.2278567455238734,neutral,-1.0
2023-02-17,bull,sideways,1.065,1.0930549999999999,0.09569509436726428,neutral,0.0
2023-04-10,sideways,bear,1.037,1.091655,-0.5194308131826108,bull,2.0
2024-05-06,bear,bull,0.815,0.811245,-1.9199032794317803,neutral,1.0
2024-05-07,bull,bear,0.81,0.810655,-1.920680435071937,neutral,1.0
2024-09-26,bear,bull,0.754,0.7402449999999999,-1.9107816050830488,neutral,0.0
2025-03-11,bull,sideways,0.967,0.856775,2.4433842695554415,bear,-2.0
2025-05-08,sideways,bull,0.896,0.88129,1.1512062989233964,neutral,-1.0
2025-05-26,bull,sideways,0.888,0.892035,1.892708446368511,neutral,0.0
2025-06-05,sideways,bull,0.907,0.8981600000000001,2.0276947893355914,neutral,1.0
2025-06-10,bull,sideways,0.898,0.9013,2.051099146837877,neutral,1.0
2025-06-11,sideways,bull,0.912,0.902405,2.068158168574401,neutral,1.0
2025-06-19,bull,sideways,0.902,0.909195,2.2199111810669403,neutral,0.0
2025-06-24,sideways,bull,0.919,0.9125650000000001,2.3014792020492525,neutral,0.0
2026-07-28,bull,sideways,1.579,1.6449200000000002,2.4259632867568373,neutral,1.0
