date,open,close,high,low
2012-05-28,1.671,1.724,1.727,1.664
2012-05-29,1.722,1.764,1.781,1.722
2012-05-30,1.762,1.756,1.767,1.753
2012-05-31,1.741,1.75,1.765,1.733
2012-06-01,1.749,1.75,1.78,1.74
2012-06-04,1.721,1.678,1.724,1.675
2012-06-05,1.682,1.681,1.692,1.676
2012-06-06,1.683,1.679,1.694,1.668
2012-06-07,1.698,1.663,1.703,1.656
2012-06-08,1.678,1.654,1.68,1.65
2012-06-11,1.663,1.684,1.697,1.656
2012-06-12,1.67,1.668,1.682,1.658
2012-06-13,1.68,1.705,1.708,1.67
2012-06-14,1.7,1.694,1.718,1.691
2012-06-15,1.702,1.704,1.714,1.677
2012-06-18,1.709,1.712,1.728,1.708
2012-06-19,1.71,1.693,1.71,1.692
2012-06-20,1.7,1.69,1.707,1.69
2012-06-21,1.683,1.65,1.684,1.637
2012-06-25,1.647,1.6,1.647,1.596
2012-06-26,1.592,1.6,1.605,1.582
2012-06-27,1.598,1.591,1.613,1.59
2012-06-28,1.6,1.577,1.606,1.575
2012-06-29,1.571,1.605,1.608,1.568
2012-07-02,1.615,1.605,1.615,1.596
2012-07-03,1.608,1.609,1.636,1.602
2012-07-04,1.614,1.609,1.624,1.604
2012-07-05,1.599,1.581,1.599,1.572
2012-07-06,1.586,1.621,1.632,1.572
2012-07-09,1.609,1.571,1.619,1.568
2012-07-10,1.569,1.561,1.573,1.558
2012-07-11,1.558,1.572,1.578,1.555
2012-07-12,1.566,1.594,1.607,1.557
2012-07-13,1.593,1.598,1.616,1.591
2012-07-16,1.601,1.558,1.602,1.557
2012-07-17,1.557,1.563,1.569,1.551
2012-07-18,1.561,1.563,1.571,1.526
2012-07-19,1.561,1.571,1.593,1.557
2012-07-20,1.565,1.553,1.571,1.547
2012-07-23,1.531,1.523,1.531,1.512
2012-07-24,1.517,1.528,1.543,1.515
2012-07-25,1.52,1.513,1.534,1.51
2012-07-26,1.515,1.502,1.527,1.5
2012-07-27,1.509,1.505,1.516,1.497
2012-07-30,1.509,1.497,1.519,1.492
2012-07-31,1.498,1.491,1.505,1.486
2012-08-01,1.492,1.509,1.521,1.492
2012-08-02,1.506,1.491,1.509,1.479
2012-08-03,1.495,1.505,1.506,1.488
2012-08-06,1.503,1.536,1.54,1.502
2012-08-07,1.535,1.539,1.541,1.532
2012-08-08,1.543,1.541,1.556,1.536
2012-08-09,1.542,1.565,1.568,1.532
2012-08-10,1.567,1.558,1.567,1.553
2012-08-13,1.551,1.512,1.551,1.509
2012-08-14,1.513,1.508,1.516,1.48
2012-08-15,1.503,1.486,1.503,1.484
2012-08-16,1.487,1.479,1.49,1.477
2012-08-17,1.479,1.469,1.48,1.455
2012-08-20,1.453,1.456,1.463,1.362
2012-08-21,1.456,1.465,1.487,1.453
2012-08-22,1.467,1.448,1.469,1.443
2012-08-23,1.453,1.459,1.468,1.442
2012-08-24,1.45,1.436,1.452,1.433
2012-08-27,1.425,1.388,1.425,1.387
2012-08-28,1.385,1.388,1.404,1.38
2012-08-29,1.382,1.373,1.394,1.37
2012-08-30,1.366,1.363,1.375,1.346
2012-08-31,1.36,1.363,1.371,1.358
2012-09-03,1.358,1.377,1.39,1.353
2012-09-04,1.381,1.353,1.387,1.352
2012-09-05,1.353,1.352,1.361,1.343
2012-09-06,1.355,1.374,1.374,1.352
2012-09-07,1.387,1.477,1.505,1.387
2012-09-10,1.48,1.485,1.49,1.473
2012-09-11,1.469,1.467,1.47,1.451
2012-09-12,1.485,1.479,1.498,1.454
2012-09-13,1.472,1.456,1.483,1.455
2012-09-14,1.474,1.472,1.49,1.455
2012-09-17,1.466,1.417,1.468,1.415
2012-09-18,1.402,1.389,1.407,1.382
2012-09-19,1.389,1.398,1.404,1.382
2012-09-20,1.393,1.349,1.393,1.346
2012-09-21,1.341,1.348,1.37,1.339
2012-09-24,1.334,1.368,1.383,1.324
2012-09-25,1.361,1.365,1.377,1.355
2012-09-26,1.363,1.341,1.372,1.338
2012-09-27,1.345,1.405,1.456,1.344
2012-09-28,1.391,1.458,1.459,1.385
2012-10-08,1.455,1.423,1.459,1.41
2012-10-09,1.435,1.476,1.488,1.435
2012-10-10,1.467,1.476,1.48,1.459
2012-10-11,1.468,1.46,1.476,1.455
2012-10-12,1.468,1.458,1.488,1.441
