date,open,close,high,low
2016-07-22,0.992,0.987,0.997,0.98
2016-07-25,0.985,0.978,0.991,0.976
2016-07-26,0.978,0.995,0.996,0.978
2016-07-27,0.997,0.94,0.999,0.931
2016-07-28,0.94,0.933,0.946,0.916
2016-07-29,0.933,0.925,0.937,0.92
2016-08-01,0.91,0.912,0.921,0.895
2016-08-02,0.909,0.921,0.921,0.908
2016-08-03,0.92,0.915,0.921,0.91
2016-08-04,0.919,0.926,0.93,0.912
2016-08-05,0.922,0.916,0.928,0.913
2016-08-08,0.915,0.924,0.924,0.905
2016-08-09,0.924,0.933,0.935,0.921
2016-08-10,0.932,0.928,0.939,0.926
2016-08-11,0.924,0.916,0.927,0.915
2016-08-12,0.917,0.918,0.92,0.911
2016-08-15,0.921,0.955,0.965,0.915
2016-08-16,0.954,0.964,0.97,0.954
2016-08-17,0.96,0.96,0.967,0.954
2016-08-18,0.954,0.959,0.964,0.954
2016-08-19,0.963,0.959,0.963,0.954
2016-08-22,0.956,0.94,0.96,0.94
2016-08-23,0.94,0.941,0.949,0.938
2016-08-24,0.943,0.951,0.955,0.941
2016-08-25,0.945,0.94,0.945,0.93
2016-08-26,0.94,0.944,0.956,0.94
2016-08-29,0.941,0.948,0.956,0.941
2016-08-30,0.948,0.953,0.955,0.946
2016-08-31,0.953,0.949,0.953,0.942
2016-09-01,0.949,0.943,0.953,0.943
2016-09-02,0.943,0.943,0.949,0.936
2016-09-05,0.94,0.944,0.954,0.939
2016-09-06,0.944,0.958,0.962,0.935
2016-09-07,0.955,0.955,0.965,0.955
2016-09-08,0.955,0.96,0.961,0.954
2016-09-09,0.96,0.948,0.961,0.948
2016-09-12,0.945,0.925,0.945,0.924
2016-09-13,0.928,0.918,0.935,0.917
2016-09-14,0.92,0.917,0.923,0.913
2016-09-19,0.917,0.927,0.934,0.917
2016-09-20,0.924,0.924,0.929,0.923
2016-09-21,0.929,0.924,0.929,0.924
2016-09-22,0.925,0.927,0.931,0.925
2016-09-23,0.928,0.918,0.928,0.917
2016-09-26,0.923,0.912,0.923,0.91
2016-09-27,0.905,0.912,0.912,0.902
2016-09-28,0.91,0.909,0.911,0.906
2016-09-29,0.909,0.91,0.918,0.909
2016-09-30,0.91,0.912,0.915,0.909
2016-10-10,0.92,0.938,0.939,0.917
2016-10-11,0.937,0.937,0.939,0.934
2016-10-12,0.936,0.937,0.942,0.934
2016-10-13,0.937,0.937,0.943,0.933
2016-10-14,0.933,0.93,0.934,0.924
2016-10-17,0.927,0.922,0.932,0.919
2016-10-18,0.922,0.933,0.933,0.921
2016-10-19,0.933,0.929,0.933,0.927
2016-10-20,0.926,0.93,0.934,0.926
2016-10-21,0.932,0.926,0.933,0.921
2016-10-24,0.928,0.936,0.94,0.924
2016-10-25,0.934,0.936,0.941,0.934
2016-10-26,0.937,0.931,0.938,0.929
2016-10-27,0.931,0.931,0.934,0.928
2016-10-28,0.933,0.924,0.937,0.924
2016-10-31,0.925,0.923,0.925,0.917
2016-11-01,0.923,0.927,0.928,0.922
2016-11-02,0.925,0.912,0.925,0.912
2016-11-03,0.912,0.915,0.923,0.909
2016-11-04,0.915,0.915,0.923,0.913
2016-11-07,0.915,0.904,0.915,0.903
2016-11-08,0.907,0.913,0.916,0.906
2016-11-09,0.912,0.9,0.914,0.891
2016-11-10,0.904,0.908,0.91,0.904
2016-11-11,0.907,0.912,0.914,0.9
2016-11-14,0.911,0.92,0.927,0.91
2016-11-15,0.916,0.928,0.933,0.916
2016-11-16,0.929,0.929,0.94,0.928
2016-11-17,0.923,0.919,0.923,0.913
2016-11-18,0.917,0.914,0.92,0.914
2016-11-21,0.914,0.912,0.917,0.91
2016-11-22,0.912,0.926,0.926,0.911
2016-11-23,0.929,0.922,0.936,0.921
2016-11-24,0.92,0.913,0.925,0.911
2016-11-25,0.913,0.923,0.925,0.904
2016-11-28,0.926,0.921,0.93,0.919
2016-11-29,0.921,0.924,0.932,0.918
2016-11-30,0.922,0.935,0.945,0.92
2016-12-01,0.938,0.932,0.94,0.93
2016-12-02,0.933,0.917,0.935,0.916
2016-12-05,0.912,0.914,0.923,0.907
2016-12-06,0.914,0.899,0.917,0.897
2016-12-07,0.899,0.903,0.903,0.896
2016-12-08,0.905,0.893,0.905,0.892
2016-12-09,0.893,0.886,0.896,0.884
2016-12-12,0.886,0.832,0.886,0.831
2016-12-13,0.831,0.834,0.84,0.826
2016-12-14,0.833,0.826,0.837,0.822
2016-12-15,0.825,0.831,0.838,0.824
2016-12-16,0.833,0.841,0.848,0.832
2016-12-19,0.842,0.834,0.842,0.829
2016-12-20,0.837,0.836,0.839,0.832
2016-12-21,0.838,0.837,0.841,0.834
2016-12-22,0.837,0.835,0.838,0.832
2016-12-23,0.835,0.824,0.836,0.823
2016-12-26,0.822,0.824,0.825,0.807
2016-12-27,0.829,0.823,0.829,0.822
2016-12-28,0.82,0.817,0.824,0.816
2016-12-29,0.818,0.813,0.824,0.813
2016-12-30,0.815,0.817,0.821,0.814
2017-01-03,0.814,0.818,0.822,0.814
2017-01-04,0.82,0.838,0.838,0.818
2017-01-05,0.837,0.835,0.838,0.833
2017-01-06,0.835,0.823,0.835,0.822
2017-01-09,0.824,0.822,0.828,0.818
2017-01-10,0.82,0.82,0.826,0.818
2017-01-11,0.819,0.814,0.822,0.811
2017-01-12,0.813,0.809,0.816,0.808
2017-01-13,0.808,0.791,0.811,0.791
2017-01-16,0.794,0.753,0.794,0.737
2017-01-17,0.753,0.776,0.783,0.746
2017-01-18,0.772,0.766,0.776,0.766
2017-01-19,0.766,0.767,0.772,0.76
2017-01-20,0.764,0.784,0.792,0.764
2017-01-23,0.782,0.786,0.789,0.782
2017-01-24,0.788,0.771,0.788,0.771
2017-01-25,0.773,0.774,0.776,0.77
2017-01-26,0.771,0.78,0.781,0.771
2017-02-03,0.783,0.777,0.783,0.775
2017-02-06,0.778,0.788,0.79,0.776
2017-02-07,0.788,0.781,0.79,0.778
2017-02-08,0.777,0.788,0.788,0.777
2017-02-09,0.788,0.794,0.796,0.788
2017-02-10,0.792,0.79,0.794,0.788
2017-02-13,0.789,0.796,0.801,0.786
2017-02-14,0.794,0.795,0.799,0.794
2017-02-15,0.795,0.785,0.797,0.785
2017-02-16,0.785,0.787,0.789,0.781
2017-02-17,0.787,0.782,0.791,0.78
2017-02-20,0.782,0.785,0.785,0.776
2017-02-21,0.784,0.797,0.8,0.784
2017-02-22,0.797,0.798,0.802,0.795
2017-02-23,0.798,0.799,0.799,0.793
2017-02-24,0.797,0.804,0.807,0.796
2017-02-27,0.804,0.801,0.813,0.799
2017-02-28,0.804,0.8,0.804,0.797
2017-03-01,0.8,0.801,0.804,0.798
2017-03-02,0.804,0.795,0.804,0.793
2017-03-03,0.794,0.796,0.798,0.786
2017-03-06,0.795,0.81,0.81,0.794
2017-03-07,0.812,0.815,0.817,0.808
2017-03-08,0.816,0.81,0.816,0.808
2017-03-09,0.81,0.808,0.81,0.802
2017-03-10,0.808,0.805,0.809,0.804
2017-03-13,0.805,0.813,0.814,0.8
2017-03-14,0.814,0.806,0.814,0.803
2017-03-15,0.803,0.808,0.81,0.799
2017-03-16,0.81,0.811,0.812,0.808
2017-03-17,0.814,0.805,0.821,0.805
2017-03-20,0.805,0.805,0.805,0.799
2017-03-21,0.805,0.807,0.809,0.803
2017-03-22,0.807,0.796,0.807,0.795
2017-03-23,0.796,0.795,0.802,0.788
2017-03-24,0.797,0.802,0.802,0.794
2017-03-27,0.803,0.796,0.803,0.796
2017-03-28,0.798,0.794,0.798,0.793
2017-03-29,0.793,0.787,0.796,0.786
2017-03-30,0.785,0.768,0.786,0.768
2017-03-31,0.771,0.774,0.775,0.77
2017-04-05,0.776,0.79,0.792,0.776
2017-04-06,0.794,0.791,0.795,0.789
2017-04-07,0.793,0.791,0.795,0.788
2017-04-10,0.793,0.775,0.793,0.774
2017-04-11,0.775,0.775,0.777,0.763
2017-04-12,0.774,0.765,0.774,0.765
2017-04-13,0.765,0.774,0.777,0.765
2017-04-14,0.776,0.763,0.776,0.761
2017-04-17,0.762,0.756,0.763,0.753
2017-04-18,0.758,0.742,0.758,0.741
2017-04-19,0.744,0.744,0.744,0.732
2017-04-20,0.747,0.742,0.748,0.738
2017-04-21,0.741,0.738,0.748,0.736
2017-04-24,0.741,0.722,0.741,0.72
2017-04-25,0.725,0.727,0.733,0.722
2017-04-26,0.729,0.724,0.729,0.721
2017-04-27,0.726,0.733,0.736,0.711
2017-04-28,0.733,0.738,0.741,0.73
2017-05-02,0.741,0.736,0.741,0.733
2017-05-03,0.739,0.736,0.739,0.733
2017-05-04,0.738,0.736,0.744,0.732
2017-05-05,0.738,0.728,0.738,0.728
2017-05-08,0.727,0.72,0.731,0.718
2017-05-09,0.719,0.725,0.727,0.713
2017-05-10,0.725,0.718,0.732,0.716
2017-05-11,0.718,0.714,0.718,0.7
2017-05-12,0.716,0.715,0.716,0.708
