info_date,cpi_yoy,ppi_yoy,cpi_core,cpi_ppi_scissors,pmi_manu,pmi_non_manu,pmi_mom,pmi_yoy,shibor_1y,shibor_overnight,shibor_3m,m2_yoy,m1_yoy,m1_m2_scissors
2015-01-04,,,,,,,,,4.7385,3.64,5.138,,,
2015-01-05,,,,,,,,,4.7429,3.421,5.125,,,
2015-01-06,,,,,,,,,4.7455,3.032,5.077,,,
2015-01-07,,,,,,,,,4.7476,2.881,5.019,,,
2015-01-08,,,,,,,,,4.7488,2.83,4.963,,,
2015-01-09,,,,,,,,,4.749,2.805,4.925,,,
2015-01-12,,,,,,,,,4.75,2.753,4.9061,,,
2015-01-13,,,,,,,,,4.75,2.667,4.9055,,,
2015-01-14,,,,,,,,,4.75,2.636,4.898,,,
2015-01-15,,,,,,,,,4.7521,2.631,4.894,,,
2015-01-16,,,,,,,,,4.7521,2.633,4.889,,,
2015-01-19,,,,,,,,,4.7555,2.66,4.894,,,
2015-01-20,,,,,,,,,4.7635,2.707,4.897,,,
2015-01-21,,,,,,,,,4.768,2.788,4.9,,,
2015-01-22,,,,,,,,,4.772,2.771,4.9,,,
2015-01-23,,,,,,,,,4.7738,2.728,4.901,,,
2015-01-26,,,,,,,,,4.7748,2.688,4.8935,,,
2015-01-27,,,,,,,,,4.7758,2.674,4.897,,,
2015-01-28,,,,,,,,,4.7788,2.69,4.9005,,,
2015-01-29,,,,,,,,,4.779,2.765,4.907,,,
2015-01-30,,,,,,,,,4.783,2.813,4.914,,,
2015-02-01,,,,,49.8,53.7,-1.386139,-0.598802,4.783,2.813,4.914,,,
2015-02-02,,,,,49.8,53.7,-1.386139,-0.598802,4.7848,2.889,4.9164,,,
2015-02-03,,,,,49.8,53.7,-1.386139,-0.598802,4.7856,2.9544,4.9167,,,
2015-02-04,,,,,49.8,53.7,-1.386139,-0.598802,4.7886,2.973,4.928,,,
2015-02-05,,,,,49.8,53.7,-1.386139,-0.598802,4.783,2.866,4.916,,,
2015-02-06,,,,,49.8,53.7,-1.386139,-0.598802,4.7793,2.856,4.908,,,
2015-02-09,,,,,49.8,53.7,-1.386139,-0.598802,4.779,2.812,4.904,,,
2015-02-10,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.779,2.852,4.899,,,
2015-02-11,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.78,2.932,4.9,,,
2015-02-12,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7834,3.058,4.901,,,
2015-02-13,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7855,3.091,4.9,10.77,10.55,-0.2
2015-02-15,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7876,3.175,4.9,10.77,10.55,-0.2
2015-02-16,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7888,3.182,4.9,10.77,10.55,-0.2
2015-02-17,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7868,3.4,4.9,10.77,10.55,-0.2
2015-02-25,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7886,3.328,4.9,10.77,10.55,-0.2
2015-02-26,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7878,3.298,4.9,10.77,10.55,-0.2
2015-02-27,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7888,3.318,4.9,10.77,10.55,-0.2
2015-02-28,0.76,,1.2,5.08,49.8,53.7,-1.386139,-0.598802,4.7879,3.441,4.9,10.77,10.55,-0.2
