序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
1,301707,N展芯,116.52,396.89,93.07,214773,2501530168.35,98.17,129.9,106.88,108.0,23.45,,79.39,241.26,20.36
2,688813,泰金新能,128.99,17.69,19.39,96315,1170355846.0,21.32,131.52,108.15,111.5,109.6,2.61,32.02,95.16,12.06
3,688796,百奥赛图,130.12,13.64,15.62,44355,545742359.0,15.32,131.88,114.34,117.99,114.5,1.67,11.49,139.74,25.48
4,001232,C嘉立创,198.29,12.15,21.48,242194,4585772153.02,18.61,204.9,172.0,172.0,176.81,0.94,54.79,73.15,9.17
5,688765,禾元生物-U,38.76,11.41,3.97,84414,311691907.0,13.28,38.92,34.3,34.78,34.79,2.3,11.73,-96.1,4.83
6,603459,红板科技,105.58,10.0,9.6,190709,1981697461.0,10.87,105.58,95.15,95.2,95.98,1.07,24.12,160.71,19.53
7,688759,必贝特-U,25.37,9.12,2.12,91285,222732314.0,12.52,25.74,22.83,23.37,23.25,1.76,12.68,-54.13,7.02
8,688806,泰诺麦博-U,28.19,7.8,2.04,145659,397096686.0,8.99,28.27,25.92,25.95,26.15,1.26,28.55,-33.67,14.37
9,688808,联讯仪器,2220.0,5.97,124.99,14225,3138419064.0,10.18,2296.0,2082.7,2082.7,2095.01,0.78,7.37,479.21,77.7
10,688785,恒运昌,273.56,4.49,11.76,8590,230492714.0,6.43,273.84,257.0,263.84,261.8,1.04,6.34,263.33,8.5
11,001257,盛龙股份,26.66,4.22,1.08,290807,761723991.85,7.04,26.86,25.06,25.48,25.58,1.57,21.23,31.78,6.64
12,603352,至信股份,28.09,4.0,1.08,42733,118534750.0,5.33,28.23,26.79,27.27,27.01,1.12,9.43,65.74,2.17
13,688807,优迅股份,254.0,3.63,8.9,19375,487221065.0,6.36,257.17,241.58,246.54,245.1,1.2,12.11,191.16,11.49
14,603402,陕西旅游,67.49,3.51,2.29,30105,199054989.0,5.43,67.62,64.08,65.5,65.2,1.9,11.98,41.19,2.44
15,603175,超颖电子,85.94,3.48,2.89,28120,239310014.0,5.68,86.77,82.05,82.05,83.05,1.11,6.18,-98.16,14.07
16,688820,盛合晶微,140.84,3.36,4.58,181635,2525017132.0,6.93,142.55,133.11,135.8,136.26,1.12,10.51,342.8,13.64
17,688783,西安奕材-U,32.0,3.23,1.0,438243,1381484073.0,5.77,32.3,30.51,31.29,31.0,1.12,16.3,-204.03,10.53
18,688809,强一股份,483.03,3.21,15.03,19198,911929866.0,7.05,489.04,456.03,464.51,468.0,1.0,7.41,139.67,15.45
19,603284,林平发展,40.62,2.97,1.17,25884,104326026.0,4.11,40.77,39.15,39.44,39.45,1.81,14.01,16.29,1.41
20,301563,云汉芯城,129.0,2.95,3.7,22238,283351262.98,5.78,129.94,122.7,125.01,125.3,1.04,11.62,52.88,8.86
21,688635,长进光子,262.53,2.95,7.53,30743,798310084.0,9.56,272.99,248.6,255.0,255.0,1.49,17.31,309.14,16.44
22,603435,嘉德利,54.79,2.12,1.14,62196,338410621.0,4.53,55.26,52.83,53.82,53.65,1.19,17.43,99.17,11.81
